Country (or dependent territory),1950,1955,%,1960,%,1965,%,1970,%,1975,%,1980,%
 Mozambique,"6,251","6,782",1.64,"7,473",1.96,"8,302",2.13,"9,305",2.31,"10,433",2.32,"12,103",3.01
 Myanmar,"19,488","21,050",1.55,"22,840",1.64,"24,938",1.77,"27,393",1.9,"30,330",2.06,"33,337",1.91
 Namibia,464,522,2.39,591,2.51,671,2.58,765,2.65,916,3.66,"1,059",2.94
 Nauru,4,4,1.38,5,4.01,6,4.44,7,3.8,8,1.17,8,1.66
 Nepal,"8,990","9,480",1.07,"10,035",1.15,"10,863",1.6,"11,919",1.87,"13,156",1.99,"14,666",2.2
 Netherlands,"10,121","10,759",1.23,"11,494",1.33,"12,302",1.37,"13,043",1.18,"13,665",0.94,"14,156",0.71
 New Caledonia,56,65,3.36,79,3.94,91,2.77,113,4.39,134,3.5,140,0.94
 New Zealand,"1,909","2,137",2.28,"2,372",2.11,"2,641",2.17,"2,829",1.38,"3,118",1.97,"3,171",0.33
 Nicaragua,"1,098","1,278",3.07,"1,493",3.17,"1,751",3.24,"2,053",3.24,"2,395",3.13,"2,804",3.2
 Niger,"3,272","3,560",1.7,"3,913",1.91,"4,344",2.11,"4,841",2.19,"5,420",2.28,"6,094",2.37
 Nigeria,"31,797","35,955",2.49,"41,551",2.94,"48,068",2.96,"55,591",2.95,"64,428",2.99,"74,829",3.04
 North Korea,"9,472","8,864",-1.32,"10,448",3.34,"11,965",2.75,"14,062",3.28,"16,015",2.63,"17,391",1.66
 North Macedonia,"1,225","1,341",1.82,"1,367",0.39,"1,470",1.47,"1,575",1.39,"1,685",1.35,"1,793",1.25
 Northern Mariana Islands,7,8,3.52,9,3.47,11,3.38,13,3.38,15,3.86,17,2.49
 Norway,"3,266","3,428",0.97,"3,582",0.88,"3,724",0.78,"3,878",0.82,"4,008",0.66,"4,086",0.39
 Oman,489,540,2.02,602,2.17,682,2.55,784,2.81,921,3.28,"1,186",5.2
 Pakistan,"40,383","45,536",2.43,"51,719",2.58,"59,047",2.69,"67,492",2.71,"76,457",2.53,"85,220",2.19
 Palau,8,9,2.72,10,2.72,11,2.72,13,2.06,13,1.35,14,0.73
 Palestine,"1,018","1,055",0.72,"1,115",1.11,"1,212",1.68,"1,033",-3.15,"1,201",3.06,"1,361",2.53
 Panama,893,"1,011",2.52,"1,148",2.57,"1,326",2.93,"1,532",2.92,"1,750",2.7,"1,960",2.3
 Papua New Guinea,"1,413","1,546",1.81,"1,719",2.15,"1,941",2.46,"2,214",2.67,"2,505",2.5,"2,847",2.6
 Paraguay,"1,476","1,684",2.67,"1,910",2.55,"2,171",2.59,"2,477",2.68,"2,849",2.83,"3,172",2.17
 Peru,"7,633","8,672",2.59,"9,932",2.75,"11,468",2.92,"13,193",2.84,"15,162",2.82,"17,296",2.67
 Philippines,"21,132","24,336",2.86,"28,026",2.86,"32,391",2.94,"37,253",2.84,"42,406",2.63,"48,290",2.63
 Poland,"24,825","27,221",1.86,"29,590",1.68,"31,263",1.11,"32,527",0.8,"33,970",0.87,"35,579",0.93
 Portugal,"8,443","8,693",0.58,"9,037",0.78,"9,129",0.2,"9,045",-0.19,"9,412",0.8,"9,778",0.77
 Puerto Rico,"2,219","2,251",0.29,"2,359",0.94,"2,597",1.95,"2,722",0.94,"2,936",1.52,"3,210",1.8
 Qatar,26,36,6.94,46,5.13,71,9.21,113,9.99,165,7.85,230,6.85
 Republic of the Congo,827,904,1.81,"1,003",2.09,"1,124",2.32,"1,273",2.52,"1,456",2.72,"1,676",2.86
 Romania,"16,312","17,326",1.21,"18,404",1.22,"19,028",0.67,"20,253",1.26,"21,246",0.96,"22,131",0.82
 Russia,"101,937","111,126",1.74,"119,632",1.49,"126,542",1.13,"130,246",0.58,"134,294",0.61,"139,039",0.7
 Rwanda,"2,440","2,699",2.04,"3,032",2.36,"3,265",1.49,"3,770",2.92,"4,357",2.94,"5,140",3.36
 Saint Barthélemy,3,3,0.62,3,0.63,3,1.12,3,1,3,1.05,3,2.9
" Saint Helena, Ascension and Tristan da Cunha",6,6,0.05,6,0.21,6,0.24,6,1.07,7,1.33,7,1.3
 Saint Kitts and Nevis,45,50,2.31,52,0.56,49,-0.87,47,-1.17,45,-0.62,44,-0.51
 Saint Lucia,80,86,1.66,88,0.43,95,1.42,103,1.77,113,1.82,123,1.73
 Saint Martin,3,4,4.07,5,4.08,5,2.5,6,2.4,7,2.91,8,3.8
 Saint Pierre and Miquelon,5,5,0.4,5,0.98,6,0.63,6,1.52,6,1.41,6,0.4
 Saint Vincent and the Grenadines,67,76,2.58,82,1.43,86,0.98,88,0.57,93,1.06,99,1.25
 Samoa,82,94,2.77,111,3.23,128,2.93,143,2.28,151,1.17,160,1.06
 San Marino,13,14,1.59,16,2.19,18,2.49,20,1.96,20,0.57,22,1.69
 São Tomé and Príncipe,60,61,0.17,64,1.03,69,1.62,74,1.4,82,2.08,95,2.88
 Saudi Arabia,"3,860","4,244",1.91,"4,719",2.15,"5,328",2.46,"6,110",2.78,"7,208",3.36,"10,022",6.81
